stringKey,stringContent
NAME_GAME_NAME,述途路人团·百分之一的困
NAME_1,乐之国
NAME_2,阿满
NAME_2_EYE,阿满之眼
NAME_AVATAR_1,闪电一号
NAME_AVATAR_2,军师
NAME_AVATAR_3,陈小明
NAME_AVATAR_4,白丁
NAME_AVATAR_5,疾风
NAME_AVATAR_6,闪电二号
NAME_AVATAR_7,闪电三号
NAME_AVATAR_8,李歪脖
NAME_AVATAR_9,太阳女神
NAME_AVATAR_10,黏黏浮
NAME_AVATAR_11,黏黏生
NAME_AVATAR_12,黏黏为
NAME_AVATAR_13,黏黏爱
NAME_AVATAR_14,黏黏挡
NAME_AVATAR_15,黏黏劫
NAME_AVATAR_16,黏黏不
NAME_AVATAR_17,黏黏惜
NAME_AVATAR_18,西暖心
NAME_AVATAR_19,发公主妹妹
NAME_AVATAR_19_2,秋宇
NAME_AVATAR_20,银龙
NAME_AVATAR_21,黏黏万
NAME_AVATAR_22,黏黏年
NAME_AVATAR_23,黏黏修
NAME_AVATAR_24,黏黏为
NAME_AVATAR_25,哆国王
NAME_AVATAR_26,来皇后
NAME_AVATAR_27,咪公主姐姐
NAME_AVATAR_28,啦管家
NAME_AVATAR_29,嗦管家
NAME_AVATAR_30,背包
NAME_AVATAR_31,记事本
NAME_AVATAR_32,{NAME_AVATAR_19}的信
NAME_AVATAR_33,三龙会
NAME_AVATAR_34,{NAME_AVATAR_33}的信
NAME_AVATAR_35,金赤童
NAME_AVATAR_36,密道
NAME_AVATAR_SHEEP,绵羊
NAME_AVATAR_HOLLY,冬青树
GOODS_NAME_1,探路帆布鞋
GOODS_NAME_2,望远镜
GOODS_NAME_3,假发
GOODS_NAME_4,假发
GOODS_NAME_5,假发
GOODS_NAME_6,假发
GOODS_NAME_7,长假发
GOODS_NAME_8,长假发
GOODS_NAME_9,长假发
GOODS_NAME_10,长假发
GOODS_NAME_11,变色假发
GOODS_NAME_HOUSEKEEPERKEY,{NAME_AVATAR_28}的钥匙
GOODS_NAME_BUTLERKEY,{NAME_AVATAR_29}的钥匙
GOODS_NAME_QUEENKEY,{NAME_AVATAR_26}的钥匙
GOODS_NAME_NUMBERINGROD,编号棒
GOODS_DESCRIPTION_1,有了这双鞋子，可以自动行走。
GOODS_DESCRIPTION_2,看的更远，尤其是在光线不好的地方。
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}的。
GOODS_DESCRIPTION_11,背包可以携带很多物品，冒险之旅，远足的必备工具。
GOODS_DESCRIPTION_12,记录一路上的所见，所闻，所遇，所感。
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}的。使用特殊材料制成。
GOODS_DESCRIPTION_HOUSEKEEPERKEY,携带时，可以打开{DOOR_1}。
GOODS_DESCRIPTION_BUTLERKEY,携带时，可以打开{DOOR_2}。
GOODS_DESCRIPTION_QUEENKEY,携带时，可以打开{SCENE_NAME_HALL_OF_MELODY}的门。
