stringKey,stringContent
NAME_GAME_NAME,As Talk As Walk Wayfarer Team - One Percent Sleepy
NAME_1,Land of Music
NAME_2,AMan
NAME_2_EYE,The Eye of AMan
NAME_AVATAR_1,Bolt 1
NAME_AVATAR_2,Wise
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Windy
NAME_AVATAR_6,Bolt 2
NAME_AVATAR_7,Bolt 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Sun Goddess
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Bag
NAME_AVATAR_31,Notepad
NAME_AVATAR_32,{NAME_AVATAR_19}’s letter
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,{NAME_AVATAR_33}’s letter
NAME_AVATAR_35,Jin Chitong
NAME_AVATAR_36,Secret Passage
NAME_AVATAR_SHEEP,Sheep
NAME_AVATAR_HOLLY,Holly
GOODS_NAME_1,Pathfinder Canvas Shoes
GOODS_NAME_2,Telescope
GOODS_NAME_3,Wig
GOODS_NAME_4,Wig
GOODS_NAME_5,Wig
GOODS_NAME_6,Wig
GOODS_NAME_7,Long Wig
GOODS_NAME_8,Long Wig
GOODS_NAME_9,Long Wig
GOODS_NAME_10,Long Wig
GOODS_NAME_11,Color-Changing Wig
GOODS_NAME_HOUSEKEEPERKEY,The Key to {NAME_AVATAR_28}
GOODS_NAME_BUTLERKEY,The Key to {NAME_AVATAR_29}
GOODS_NAME_QUEENKEY,The Key to {NAME_AVATAR_26}
GOODS_NAME_NUMBERINGROD,Numbering Rod
GOODS_DESCRIPTION_1,"With this pair of shoes, you can walk automatically."
GOODS_DESCRIPTION_2,"See further, especially in bad light."
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}’s.
GOODS_DESCRIPTION_11,"A backpack can carry many items, adventure trips, hiking essential tools."
GOODS_DESCRIPTION_12,"Keep track of what you see, hear, encounter, and feel along the way."
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}'s. Made of special materials.
GOODS_DESCRIPTION_HOUSEKEEPERKEY,"When carrying, you can open {DOOR_1}."
GOODS_DESCRIPTION_BUTLERKEY,"When carrying, {DOOR_2} can be opened."
GOODS_DESCRIPTION_QUEENKEY,"While carrying, you can open the door for {SCENE_NAME_HALL_OF_MELODY}."
GOODS_DESCRIPTION_NUMBERINGROD,Beat number.
GOODS_IN_USE,In use.
GOODS_UNUSED,Unused.
GOODS_TELESCOPE_VISUALFIELDDISTANCE,Visual field distance: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,Visual field shape: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,Rhombus
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,Egg shape
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,Visual field distance: %s (+%s).
JOB_LOBBYIST,Lobbyist
