stringKey,stringContent
NAME_GAME_NAME,Présentation des passants - 1 pour cent de somnolence
NAME_1,Le pays du plaisir
NAME_2,AMan
NAME_2_EYE,L’oeil de l’AMan
NAME_AVATAR_1,Foudre numéro 1
NAME_AVATAR_2,Division de l’armée iraquienne
NAME_AVATAR_3,Petit mineur chen
NAME_AVATAR_4,Bai Ding
NAME_AVATAR_5,vent
NAME_AVATAR_6,Foudre numéro 2
NAME_AVATAR_7,Foudre numéro 3
NAME_AVATAR_8,Li crow neck
NAME_AVATAR_9,Déesse du soleil
NAME_AVATAR_10,Collant et flottant
NAME_AVATAR_11,Collant et collant
NAME_AVATAR_12,Collant collant comme
NAME_AVATAR_13,Collant et collant amour
NAME_AVATAR_14,Bloc collant
NAME_AVATAR_15,Collant et shocking
NAME_AVATAR_16,Collant et collant
NAME_AVATAR_17,Collant et collant
NAME_AVATAR_18,Western coeur chaud
NAME_AVATAR_19,Cheveux princesse soeur
NAME_AVATAR_19_2,Au cours de l’automne osamu uno
NAME_AVATAR_20,Silver dragon
NAME_AVATAR_21,Collant pour mille
NAME_AVATAR_22,Année de sticky
NAME_AVATAR_23,Réparation collante collante
NAME_AVATAR_24,Collant collant comme
NAME_AVATAR_25,doraemon
NAME_AVATAR_26,Venir à queen
NAME_AVATAR_27,Princesse mi soeur
NAME_AVATAR_28,La majordome
NAME_AVATAR_29,Le gouvernant prolixe
NAME_AVATAR_30,sac
NAME_AVATAR_31,bloc-notes
NAME_AVATAR_32,La lettre de {NAME_AVATAR_19}
NAME_AVATAR_33,Ordre des trois dragons
NAME_AVATAR_34,La lettre de {NAME_AVATAR_33}
NAME_AVATAR_35,L’enfant rouge d’or
NAME_AVATAR_36,Mitterrand road
NAME_AVATAR_SHEEP,ovins
NAME_AVATAR_HOLLY,Le houx
GOODS_NAME_1,Espadrilles exploratoires
GOODS_NAME_2,télescope
GOODS_NAME_3,perruques
GOODS_NAME_4,perruques
GOODS_NAME_5,perruques
GOODS_NAME_6,perruques
GOODS_NAME_7,Cheveux longs faux
GOODS_NAME_8,Cheveux longs faux
GOODS_NAME_9,Cheveux longs faux
GOODS_NAME_10,Cheveux longs faux
GOODS_NAME_11,Changement de couleur perruque
GOODS_NAME_HOUSEKEEPERKEY,La clé de {NAME_AVATAR_28}
GOODS_NAME_BUTLERKEY,La clé de {NAME_AVATAR_29}
GOODS_NAME_QUEENKEY,La clé de {NAME_AVATAR_26}
GOODS_NAME_NUMBERINGROD,Nombre de barres
GOODS_DESCRIPTION_1,"Avec ces chaussures, il est possible de marcher automatiquement."
GOODS_DESCRIPTION_2,"Regardez plus loin, surtout dans les endroits mal éclairés."
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_11,"Sac à dos peut transporter beaucoup de choses, voyage d’aventure, outil essentiel pour la randonnée."
GOODS_DESCRIPTION_12,"Enregistrer ce qui est vu, entendu, rencontré et ressenti sur le chemin."
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}. Fabriqué avec des matériaux spéciaux.
GOODS_DESCRIPTION_HOUSEKEEPERKEY,"Lors du transport, vous pouvez ouvrir {DOOR_1}."
GOODS_DESCRIPTION_BUTLERKEY,"Lors du transport, vous pouvez ouvrir {DOOR_2}."
GOODS_DESCRIPTION_QUEENKEY,"Lors du transport, vous pouvez ouvrir la porte de {SCENE_NAME_HALL_OF_MELODY}."
GOODS_DESCRIPTION_NUMBERINGROD,Nombre de battements.
GOODS_IN_USE,En service.
GOODS_UNUSED,Non utilisé.
GOODS_TELESCOPE_VISUALFIELDDISTANCE,Distance de vue: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,Forme de champ de vision: %s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,Nombre de mailles losanges
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,Forme d’œuf
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,Distance de vue: %s (+%s).
JOB_LOBBYIST,Les lobbyistes
PLAY_CHESS_NAME,Partie d’échecs
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} points
SCENE_NAME_1_HOME,Accueil de {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Accueil de {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Accueil de {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} cour de la maison
SCENE_NAME_CHORD_SQUARE,Carré des acordes
SCENE_NAME_STAVE_AVENUE,Avenue des lignes
SCENE_NAME_HALL_OF_MELODY,La grande salle mélodique
SCENE_NAME_CLINKER_VALLEY,Promenade des gorges sonores
SCENE_NAME_CRACKING_VOICE_RIDGE,La crête rompue
SCENE_NAME_GRASSLAND,Terrain de football
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} la porte de la maison
NPCARTICLETRIGGER_NAME_2,{NAME_AVATAR_3} la porte de la maison
NPCARTICLETRIGGER_NAME_3,{NAME_AVATAR_4} la porte de la maison
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Charger le jeu
STARTGAMEPANEL_STARTGAME,Commencer le jeu
STARTGAMEPANEL_CONTINUEGAME,Continuer le jeu
STARTGAMEPANEL_COMMONBUTTON31OPTION,Les options
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Quitter le jeu
STARTGAMEPANEL_COMMONLABELARCHIVE,archivage
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Le nouveau jeu
STARTGAMEPANEL_ARCHIVE_CLEAR,supprimé
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Supprimer l’archive %s deuxième confirmation
PANEL_BUTTON_OK,Déterminer
PANEL_BUTTON_CANCEL,Annulation
PANEL_BUTTON_CLOSE,La fermeture
PANEL_BUTTON_YES,Oui
PANEL_BUTTON_NO,Non
OPTIONPANEL_COMMONLABEL31TITLE,Interface des options
OPTIONPANEL_COMMONBUTTONLANGUAGE,Sélectionnez la langue (langue)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,Résolution de l’image:
OPTIONPANEL_COMMONLABELFULLSCREEN,Plein écran:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,L’image s’étire:
OPTIONPANEL_COMMONLABELMUSIC,La musique:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Effets sonores:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_SCREEN_RESOLUTION,Résolution de l’écran
OPTIONPANEL_COMMONLABELLANGUAGE,Langues parlées:
OPTIONPANEL_COMMONBUTTONDEFAULT,Par défaut
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Retour au lobby
OPTIONPANEL_COMMONBUTTONEXITGAME,Quitter le jeu
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Retour au jeu
OPTIONPANEL_GENERAL,General
OPTIONPANEL_KEYBOARD,Touches
OPTIONPANEL_KEYBOARD_MOVE,Pour déménager:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (ou ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_INTERACTION}:
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_WAVE,Le mouvement:
OPTIONPANEL_KEYBOARD_WAVE_CONTENT,Entrée (ou espace)
OPTIONPANEL_KEYBOARD_BAG,Sac à dos:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Interface des options:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_KEYBOARD_YES,Oui:
OPTIONPANEL_KEYBOARD_YES_CONTENT,Y
OPTIONPANEL_KEYBOARD_NO,Non:
OPTIONPANEL_KEYBOARD_NO_CONTENT,N
OPTIONPANEL_ABOUT,En ce qui concerne
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Nom du jeu: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Version: %s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Description: %s.
OPTIONPANEL_ABOUT_CONTACT,Contact: %s.
OPTIONPANEL_ABOUT_CONTACT_COPY,La reproduction
OPTIONPANEL_ABOUT_THANKS,"Remerciements: aux membres de ma famille, sans leur soutien, ce jeu n’existerait pas."
LANGUAGEPANEL_COMMONLABEL31TITLE,Choisissez votre langue
TIME_YEAR,en
TIME_MONTH,le
TIME_DAY,le
TIME_HOUR,Lors de la
TIME_MINUTE,h
TIME_SECOND,S
BOOTSCENE_STARTING_STRING1,En cours de démarrage
BOOTSCENE_STARTING_STRING2,En cours de démarrage.
BOOTSCENE_STARTING_STRING3,Démarrage en cours..
BOOTSCENE_STARTING_STRING4,Démarrage en cours...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,Nombre de jours %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,Il fait nuit.
CURRENTSCENESHOWNAME_ENTER,Entrez %s.
DOWNPANEL_INTERACTION,Interaction
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,L’utilisation de
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,jetez
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,Jeter?
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,"Les cendres s’éteignent, les regards se brûlent."
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,A été effacé.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,Il est propre.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,Vide.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,Vide et vide.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,Vide vide vide.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,"Vide, vide, vide."
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,"Vide, vide, vide."
IN_CD,Dans le refroidissement.
AVATAR_CAN_NOT_MOVE,Ne peut pas se déplacer.
AVATAR_HAD_EQUIP,Déjà porté: %s.
AVATAR_HAD_EQUIP2,Déjà porté.
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME} commencer
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME} succès
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME} a échoué
CHESSPANEL1_COMMONBUTTONCONTINUE,continue
CHESSPANEL1_MOUSECLICKCONTINUE,(clic gauche de la souris n’importe où pour continuer)
CHESSPANEL1_POINTS,%s points de jeu: %s.
SLOGAN_NEW_DAY_1,Une nouvelle journée commence.
SLOGAN_NEW_DAY_2,Une journée d’aventure commence.
SLOGAN_NEW_DAY_3,Un nouveau jour.
SLOGAN_NEW_DAY_4,Une journée d’aventure.
SLOGAN_NEW_DAY_5,La route est longue.
SLOGAN_NEW_DAY_6,"Longue route, prêt à partir."
SLOGAN_NEW_DAY_7,Prêt à partir.
SLOGAN_NEW_DAY_8,Le départ.
SLOGAN_AVATAR_DEAD_1,La nuit dévore ceux qui ne craignent pas les ténèbres.
SLOGAN_AVATAR_DEAD_2,Il fait nuit et vous êtes dévoré par la nuit.
NAVIGATIONMANAGER_NOT_VALID_PATH_END_POSITION,Destination non valide.
NAVIGATIONMANAGER_END_OBSTRUCTIONS_NEARBY,Arrêt de la recherche automatique de chemin. Obstacles à proximité.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_1,Une chaussure pour une paire de chaussures?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_2,Le pied gauche et le pied droit sont une chaussure?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_3,Où placer la batterie?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_4,L’interrupteur n’a pas été trouvé.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_5,Où est l’interrupteur?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_6,Déjà habillé.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_7,Peut trouver son chemin automatiquement.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_8,Ne se perdra pas cette fois.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_9,Où allons-nous?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_10,Je pense où je vais.
