stringKey,stringContent
NAME_GAME_NAME,述通行人団·百分の一の困です
NAME_1,楽の国です
NAME_2,ミチルです
NAME_2_EYE,ミチルの目です
NAME_AVATAR_1,ライトニング1号
NAME_AVATAR_2,軍師です
NAME_AVATAR_3,陳小明です
NAME_AVATAR_4,ハクチンです
NAME_AVATAR_5,疾風です
NAME_AVATAR_6,ライトニング2号
NAME_AVATAR_7,イナズマ3号
NAME_AVATAR_8,首が曲がっています
NAME_AVATAR_9,太陽の女神です
NAME_AVATAR_10,べたべたと浮いています
NAME_AVATAR_11,ネバネバ生です
NAME_AVATAR_12,ネバネバしています
NAME_AVATAR_13,ネバネバ愛です
NAME_AVATAR_14,ネバネバギアです
NAME_AVATAR_15,ネバネバ劫
NAME_AVATAR_16,べたべたしません
NAME_AVATAR_17,ねばねばします
NAME_AVATAR_18,ウエストハート
NAME_AVATAR_19,髪姫の妹です
NAME_AVATAR_19_2,チュウです
NAME_AVATAR_20,銀竜です
NAME_AVATAR_21,ネバネバ万です
NAME_AVATAR_22,ネバネバ年です
NAME_AVATAR_23,ネバネバ修理です
NAME_AVATAR_24,ネバネバしています
NAME_AVATAR_25,ド国王です
NAME_AVATAR_26,来ました後
NAME_AVATAR_27,ミ姫お姉さまです
NAME_AVATAR_28,です執事
NAME_AVATAR_29,うるさい執事です
NAME_AVATAR_30,リュックです
NAME_AVATAR_31,手帳です
NAME_AVATAR_32,{NAME_AVATAR_19}の手紙です
NAME_AVATAR_33,三龍会です
NAME_AVATAR_34,{NAME_AVATAR_33}の手紙です
NAME_AVATAR_35,金赤童です
NAME_AVATAR_36,抜け道です
NAME_AVATAR_SHEEP,ヒツジです
NAME_AVATAR_HOLLY,モチノキ
GOODS_NAME_1,探路用ズック靴です
GOODS_NAME_2,望遠鏡です
GOODS_NAME_3,かつらです
GOODS_NAME_4,かつらです
GOODS_NAME_5,かつらです
GOODS_NAME_6,かつらです
GOODS_NAME_7,長い休みをとります
GOODS_NAME_8,長い休みをとります
GOODS_NAME_9,長い休みをとります
