stringKey,stringContent
NAME_GAME_NAME,여행객 모임·100분의 1의 졸림
NAME_1,낙지국
NAME_2,AMan
NAME_2_EYE,아만의 눈
NAME_AVATAR_1,번개 넘버 1
NAME_AVATAR_2,군사
NAME_AVATAR_3,천샤오밍
NAME_AVATAR_4,백정
NAME_AVATAR_5,질풍
NAME_AVATAR_6,번개 2호
NAME_AVATAR_7,번개 3호
NAME_AVATAR_8,리웨이턴
NAME_AVATAR_9,태양의 여신
NAME_AVATAR_10,끈적끈적하다
NAME_AVATAR_11,끈적끈적하다
NAME_AVATAR_12,끈적끈적하다
NAME_AVATAR_13,끈적끈적하게 사랑하다
NAME_AVATAR_14,끈적끈적하다
NAME_AVATAR_15,끈적끈적한 것
NAME_AVATAR_16,끈적끈적하다
NAME_AVATAR_17,끈적끈적하다
NAME_AVATAR_18,시롼신서난심
NAME_AVATAR_19,공주의 여동생을 낳다
NAME_AVATAR_19_2,추 우
NAME_AVATAR_20,인 룽
NAME_AVATAR_21,끈적끈적하다
NAME_AVATAR_22,끈적끈적한 세월
NAME_AVATAR_23,끈적끈적하게 꾸미다
NAME_AVATAR_24,끈적끈적하다
NAME_AVATAR_25,도국왕
NAME_AVATAR_26,라이황후
NAME_AVATAR_27,미공주 누나
NAME_AVATAR_28,집사!
NAME_AVATAR_29,수다쟁이
NAME_AVATAR_30,배낭
NAME_AVATAR_31,수첩
NAME_AVATAR_32,{NAME_AVATAR_19} 편지입니다
NAME_AVATAR_33,싼룽후이
NAME_AVATAR_34,{NAME_AVATAR_33} 편지입니다
NAME_AVATAR_35,진츠퉁
NAME_AVATAR_36,밀 로드
NAME_AVATAR_SHEEP,면양
NAME_AVATAR_HOLLY,사철나무
GOODS_NAME_1,디스패치 슈즈
GOODS_NAME_2,망원경
GOODS_NAME_3,가발
GOODS_NAME_4,가발
GOODS_NAME_5,가발
GOODS_NAME_6,가발
GOODS_NAME_7,긴 휴가발
GOODS_NAME_8,긴 휴가발
GOODS_NAME_9,긴 휴가발
GOODS_NAME_10,긴 휴가발
GOODS_NAME_11,변색 가발
GOODS_NAME_HOUSEKEEPERKEY,{NAME_AVATAR_28}의 열쇠
GOODS_NAME_BUTLERKEY,{NAME_AVATAR_29}의 열쇠
GOODS_NAME_QUEENKEY,{NAME_AVATAR_26}의 열쇠
GOODS_NAME_NUMBERINGROD,넘버링 바
GOODS_DESCRIPTION_1,이 신발이 있으면 자동으로 걷는다.
GOODS_DESCRIPTION_2,특히 빛이 좋지 않은 곳에서 더 멀리 볼 수 있습니다.
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}과녁.
GOODS_DESCRIPTION_11,"배낭은 많은 물품, 모험 여행, 하이킹을 위한 필수 도구를 휴대할 수 있다."
GOODS_DESCRIPTION_12,오고가는 길에서 보고 듣고 만나고 느낀 것을 기록하다.
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}과녁.특수 재료로 만들다.
GOODS_DESCRIPTION_HOUSEKEEPERKEY,이 경우 {DOOR_1}을 열 수 있다.
GOODS_DESCRIPTION_BUTLERKEY,이 경우 {DOOR_2}를 열 수 있다.
GOODS_DESCRIPTION_QUEENKEY,{SCENE_NAME_HALL_OF_MELODY}의 문을 열 수 있다.
GOODS_DESCRIPTION_NUMBERINGROD,번호를 찍다.
GOODS_IN_USE,사용 중입니다.
GOODS_UNUSED,사용하지 않음.
GOODS_TELESCOPE_VISUALFIELDDISTANCE,관찰시야 거리:%s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,관찰시야 셰이프:%s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,마름 모
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,계란 형
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,시야 거리:%s (+%s).
JOB_LOBBYIST,로비스트
PLAY_CHESS_NAME,대국하다.
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} 점
SCENE_NAME_1_HOME,{NAME_AVATAR_1}의 집이기도하다
SCENE_NAME_3_HOME,{NAME_AVATAR_3}의 집이기도하다
SCENE_NAME_4_HOME,{NAME_AVATAR_4}의 집이기도하다
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} 집의 뜰
SCENE_NAME_CHORD_SQUARE,허셴광장
SCENE_NAME_STAVE_AVENUE,오선보도
SCENE_NAME_HALL_OF_MELODY,선율대전
SCENE_NAME_CLINKER_VALLEY,저우인협곡
SCENE_NAME_CRACKING_VOICE_RIDGE,파음령
