stringKey,stringContent
NAME_GAME_NAME,Путешественники - Одна сотая сонная
NAME_1,Страна удовольствия
NAME_2,Аман
NAME_2_EYE,Глаз Аман
NAME_AVATAR_1,Молния - 1
NAME_AVATAR_2,Военная дивизия
NAME_AVATAR_3,Чэнь Сяомин
NAME_AVATAR_4,Белый Дин
NAME_AVATAR_5,Ветер
NAME_AVATAR_6,Молния - 2
NAME_AVATAR_7,Молния - 3
NAME_AVATAR_8,Ли Кришная шея
NAME_AVATAR_9,Богиня солнца
NAME_AVATAR_10,Склеивание
NAME_AVATAR_11,липкий
NAME_AVATAR_12,Склеить
NAME_AVATAR_13,Липкая любовь
NAME_AVATAR_14,Привязка
NAME_AVATAR_15,Клянусь.
NAME_AVATAR_16,Не липкий.
NAME_AVATAR_17,Липкий
NAME_AVATAR_18,Западное тепло
NAME_AVATAR_19,Сестра принцессы
NAME_AVATAR_19_2,Цю 
NAME_AVATAR_20,Серебряный дракон
NAME_AVATAR_21,Липкий.
NAME_AVATAR_22,липкий год
NAME_AVATAR_23,Липкий ремонт
NAME_AVATAR_24,Склеить
NAME_AVATAR_25,Дон Кинг
NAME_AVATAR_26,"Иди сюда, королева."
NAME_AVATAR_27,Сестра принцессы Мицуи.
NAME_AVATAR_28,Домработница.
NAME_AVATAR_29,"Эй, экономка."
NAME_AVATAR_30,Рюкзак
NAME_AVATAR_31,Блокнот
NAME_AVATAR_32,Письмо {NAME_AVATAR_19}
NAME_AVATAR_33,Общество трех драконов
NAME_AVATAR_34,Письмо {NAME_AVATAR_33}
NAME_AVATAR_35,Ким Чи Тонг
NAME_AVATAR_36,Тайдао
NAME_AVATAR_SHEEP,Овцы
NAME_AVATAR_HOLLY,Холли
GOODS_NAME_1,Брезентовые сапоги
GOODS_NAME_2,Телескоп
GOODS_NAME_3,Парик.
GOODS_NAME_4,Парик.
GOODS_NAME_5,Парик.
GOODS_NAME_6,Парик.
GOODS_NAME_7,Длинные парики
GOODS_NAME_8,Длинные парики
GOODS_NAME_9,Длинные парики
GOODS_NAME_10,Длинные парики
GOODS_NAME_11,Цветной парик
GOODS_NAME_HOUSEKEEPERKEY,Ключ {NAME_AVATAR_28}
GOODS_NAME_BUTLERKEY,Ключ {NAME_AVATAR_29}
GOODS_NAME_QUEENKEY,Ключ {NAME_AVATAR_26}
GOODS_NAME_NUMBERINGROD,Номерный стержень
GOODS_DESCRIPTION_1,С этими туфлями можно ходить автоматически.
GOODS_DESCRIPTION_2,"Смотреть дальше, особенно там, где плохо освещено."
GOODS_DESCRIPTION_3,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_4,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_5,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_6,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_7,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_8,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_9,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_10,{JOB_LOBBYIST}.
GOODS_DESCRIPTION_11,"Рюкзак может нести много предметов, приключений, необходимых инструментов для похода."
GOODS_DESCRIPTION_12,"Запись того, что видел, слышал, встречал, чувствовал по пути."
GOODS_DESCRIPTION_18,{JOB_LOBBYIST}.  Изготовлено из специальных материалов.
GOODS_DESCRIPTION_HOUSEKEEPERKEY,При переноске можно открыть {DOOR_1}.
GOODS_DESCRIPTION_BUTLERKEY,При переноске можно открыть {DOOR_2}.
GOODS_DESCRIPTION_QUEENKEY,При переноске можно открыть дверь {SCENE_NAME_HALL_OF_MELODY}.
GOODS_DESCRIPTION_NUMBERINGROD,Сфотографировать номер.
GOODS_IN_USE,В процессе использования.
GOODS_UNUSED,Не используется.
GOODS_TELESCOPE_VISUALFIELDDISTANCE,Расстояние обзора:%s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE,Форма поля зрения:%s.
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_RHOMBUS,ромб
GOODS_TELESCOPE_VISUALFIELDSHARPTYPE_EGG,Яйцо
GOODS_TELESCOPE_VISUALFIELDDISTANCE2,Расстояние обзора:%s (+%s).
JOB_LOBBYIST,Лоббист.
PLAY_CHESS_NAME,Игра
PLAY_CHESS_POINTS,Количество баллов {PLAY_CHESS_NAME}
SCENE_NAME_1_HOME,{NAME_AVATAR_1} Домой
SCENE_NAME_3_HOME,Дом {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Дом {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} Двор дома
SCENE_NAME_CHORD_SQUARE,Площадь аккордов
SCENE_NAME_STAVE_AVENUE,Пятистраничный бульвар
SCENE_NAME_HALL_OF_MELODY,Дом мелодий
SCENE_NAME_CLINKER_VALLEY,Пропущенный каньон
SCENE_NAME_CRACKING_VOICE_RIDGE,Сломанный хребет
SCENE_NAME_GRASSLAND,стадион
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} Дверь дома
NPCARTICLETRIGGER_NAME_2,{NAME_AVATAR_3} Дверь дома
NPCARTICLETRIGGER_NAME_3,{NAME_AVATAR_4} Дверь дома
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Загрузить игру
STARTGAMEPANEL_STARTGAME,Начать игру
STARTGAMEPANEL_CONTINUEGAME,Продолжить игру
STARTGAMEPANEL_COMMONBUTTON31OPTION,Параметры
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Выйти из игры
STARTGAMEPANEL_COMMONLABELARCHIVE,Архив
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Новая игра
STARTGAMEPANEL_ARCHIVE_CLEAR,Удалить
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Удалить архив%s Подтверждено дважды
PANEL_BUTTON_OK,Определение
PANEL_BUTTON_CANCEL,Отменить
PANEL_BUTTON_CLOSE,Закрыть
PANEL_BUTTON_YES,Да
PANEL_BUTTON_NO,Нет
OPTIONPANEL_COMMONLABEL31TITLE,Интерфейс параметров
OPTIONPANEL_COMMONBUTTONLANGUAGE,Выбор языка (Language)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,изображен:
OPTIONPANEL_COMMONLABELFULLSCREEN,полноэкра:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,растягива:
OPTIONPANEL_COMMONLABELMUSIC,Музыка:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Звуковые эффекты:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280х720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920х1080
OPTIONPANEL_SCREEN_RESOLUTION,Разрешение экрана
OPTIONPANEL_COMMONLABELLANGUAGE,Язык:
OPTIONPANEL_COMMONBUTTONDEFAULT,По умолчанию
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Возвращайся в холл.
OPTIONPANEL_COMMONBUTTONEXITGAME,Выйти из игры
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Вернуться к игре
OPTIONPANEL_GENERAL,Общий
OPTIONPANEL_KEYBOARD,Клавиши
OPTIONPANEL_KEYBOARD_MOVE,Переместить:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (or ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_INTERACTION}:
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,Е
OPTIONPANEL_KEYBOARD_WAVE,Помахивание:
OPTIONPANEL_KEYBOARD_WAVE_CONTENT,Enter (или Космос)
OPTIONPANEL_KEYBOARD_BAG,Рюкзак:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,Б
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Интерфейс опций:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,О
OPTIONPANEL_KEYBOARD_YES,Да:
OPTIONPANEL_KEYBOARD_YES_CONTENT,Y
OPTIONPANEL_KEYBOARD_NO,Нет:
OPTIONPANEL_KEYBOARD_NO_CONTENT,N
OPTIONPANEL_ABOUT,О
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Название игры: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Версия:%s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Описание:%s.
OPTIONPANEL_ABOUT_CONTACT,Связь:%s.
OPTIONPANEL_ABOUT_CONTACT_COPY,Копирование
OPTIONPANEL_ABOUT_THANKS,"Спасибо: спасибо моей семье, без их поддержки не было бы этой игры."
LANGUAGEPANEL_COMMONLABEL31TITLE,Выбор языка
TIME_YEAR,Год
TIME_MONTH,Месяц
TIME_DAY,День
TIME_HOUR,Время
TIME_MINUTE,Б
TIME_SECOND,Секунда
BOOTSCENE_STARTING_STRING1,Запуск
BOOTSCENE_STARTING_STRING2,Запускается.
BOOTSCENE_STARTING_STRING3,Запуск...
BOOTSCENE_STARTING_STRING4,Запуск...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,Количество дней%s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,Уже стемнеет.
CURRENTSCENESHOWNAME_ENTER,Вход%s.
DOWNPANEL_INTERACTION,беседовать
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,Использование
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,Выбросить
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,Выбросить?
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,"Сгорел пепел, после того как увидел."
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,Очищены.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,Чисто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,Пустой.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,Пусто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,Пусто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,"Пустота, пустота, пустота."
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,"Пусто, пусто, пусто, пусто."
IN_CD,Охлаждается.
AVATAR_CAN_NOT_MOVE,Не могу пошевелиться.
AVATAR_HAD_EQUIP,Уже носят:%s.
AVATAR_HAD_EQUIP2,Уже носят.
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME} Начало
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME} Успешно
CHESSPANEL1_PLAYCHESS_FAILURE,Сбой {PLAY_CHESS_NAME}
CHESSPANEL1_COMMONBUTTONCONTINUE,Продолжай.
CHESSPANEL1_MOUSECLICKCONTINUE,(Щелкните левой кнопкой мыши в любом месте для продолжения)
