stringKey,stringContent
NAME_GAME_NAME,ทีมงานของคนธรรมดา ที่เล่าเรื่องราว·
NAME_AVATAR_1,สายฟ้า 1
NAME_AVATAR_2,ท่านนายพล
NAME_AVATAR_3,ชานยอง
NAME_AVATAR_4,สีขาว
NAME_AVATAR_5,ความเร็วลม
NAME_AVATAR_6,สายฟ้า 2
NAME_AVATAR_7,สายฟ้า 3
NAME_AVATAR_8,เรื่องราวของลี
NAME_AVATAR_9,ดวงอาทิตย์
NAME_AVATAR_10,เหนียวเหนอะหนะ
NAME_AVATAR_11,เหนียวเหนอะ
NAME_AVATAR_12,เหนียวเหนอะ
NAME_AVATAR_13,เหนียวเหนอะ
NAME_AVATAR_14,เหนียวเหนอะหนะ
NAME_AVATAR_15,เหนียวเหนอะ
NAME_AVATAR_16,เหนียวเหนอะหนะ
NAME_AVATAR_17,เหนียวเหนอะ
NAME_AVATAR_18,มันช่างอบอุ่น
NAME_AVATAR_19,น้องสาวเจ้าหญิง
NAME_AVATAR_19_2,โชวู
NAME_AVATAR_20,มังกรเงิน
NAME_AVATAR_21,เหนียวเหนอะ
NAME_AVATAR_22,เหนียวเหนอะหนะ
NAME_AVATAR_23,ซ่อมมันเหนียวเหนอะหนะ
NAME_AVATAR_24,เหนียวเหนอะ
NAME_AVATAR_25,ราชาโดรา
NAME_AVATAR_26,มาราชินี
NAME_AVATAR_27,มินามิ
NAME_AVATAR_28,แม่บ้าน
NAME_AVATAR_29,ใช้คำฟุ่มเฟือย
NAME_AVATAR_30,กระเป๋าเป้
NAME_AVATAR_31,สมุดบันทึก
NAME_AVATAR_32,จดหมายจากนามูด {NAME_AVATAR_19}
NAME_AVATAR_33,สามมังกร
NAME_AVATAR_34,จดหมายของนามากแอฟริกา {NAME_AVATAR_33}
